Song Name,Artist,Genre,Song Duration,YouTube Link
Dilbar Mere,Kishore Kumar,Classic Bollywood Romantic,4:13,https://youtu.be/dDfx5xM7yno?si=pV7qJPQWiWq2-tPh
Aajkal Tere Mere Pyar Ke Charche,Mohammed Rafi,Classic Bollywood Pop,5:10,https://youtu.be/-IBL3GMzvuw?si=NmscVEm8j7lsIB7n
Sanson Ki Mala Pe,Nusrat Fateh Ali Khan,Sufi Qawwali,7:12,https://youtu.be/eYSaHXXFIBU?si=4GWdUHZIcbH1VJSj
Itna Na Mujhse Tu Pyar Badha,Talat Mahmood,Classic Bollywood Sad,3:55,https://youtu.be/iZUcBGRoLqo?si=HLBpfhEm09TdRha8
Ek Main Aur Ek Tu,"Kishore Kumar, Asha Bhosle",Classic Bollywood Pop,4:51,https://youtu.be/bnYyvOknqYo?si=FNRfLzdj9QNCfeHV
Bahon Mein Chale Aao,Lata Mangeshkar,Classic Bollywood,4:03,https://youtu.be/_uzRGxe0LUs?si=c55DvwXJMjlNj4m1
Kya Khoob Lagti Ho,"Mukesh, Kanchan",Classic Bollywood Romantic,3:58,https://youtu.be/g7XhrF-jM74?si=WmLF5gvR0vKJZq3s
Aa Chal Ke Tujhe,Kishore Kumar,Classic Bollywood,4:38,https://youtu.be/Y_8VmzWOsgs?si=WwWeIW7gfWPjhiLS
Mera Joota Hai Japani,Mukesh,Classic Bollywood,4:28,https://youtu.be/fy7P_Uu3alA?si=HwwmFSA02C8sn47T
Rimjhim Gire Sawan,Kishore Kumar,Classic Bollywood Romantic,3:56,https://youtu.be/JQoSSJDZxOo?si=yl8Iy1xmQPndKt9q
In Ankhon Ki Masti,Asha Bhosle,Ghazal,5:42,https://youtu.be/yjYE41bYnUM?si=sILNLgdM6ptjBahA
O Mere Dil Ke Chain,Kishore Kumar,Classic Bollywood Romantic,4:34,https://youtu.be/-Px0efU00uQ?si=-hW9RhycEOSzeGMn
Abhi Na Jao Chhod Kar,"Asha Bhosle, Mohammed Rafi",Classic Bollywood Romantic,4:16,https://youtu.be/mfEQgoVi7P4?si=bK1fHyjGNLN25GBL
Pyar Hamen Kis Mod Pe,Kishore Kumar,Classic Bollywood Pop,6:21,https://youtu.be/lTEkQ9Uyjiw?si=itA_Hfq_hQGHXfLH
Tu Mile Dil Khile,Kumar Sanu,Bollywood Romantic,5:38,https://youtu.be/nqTS7ngviwQ?si=UjJUp6jG2qc7aazk
Yeh Vaada Raha,"Kishore Kumar, Asha Bhosle",Bollywood Romantic,3:28,https://youtu.be/bLxLaVS4ZXQ?si=JTEjTnCJldNB-k-0
Khwab Ho Tum Ya Koi Haqeeqat,Kishore Kumar,Classic Bollywood Romantic,5:35,https://youtu.be/Jw4wLVnFJ-E?si=0OrOHSbYnhCPr_Ez
